Date,Open,High,Low,Close,Volume,,,,,,,
21-05-2019,284.85,286.5,277.5,270.8,4196280,,,,,,,
22-05-2019,280.4,281.25,272.3,268.43,5052534,,,,,,,
23-05-2019,284,289.9,274.5,267.46,5355880,,,,,,,
24-05-2019,279.95,291.5,273.55,279.14,9795647,,,,,,,
27-05-2019,281,289.3,277.05,278.9,9081309,,,,,,,
28-05-2019,287.75,297.5,286.75,283.94,10338894,,,,,,,
29-05-2019,292,295.7,279.7,271.92,7940056,,,,,,,
30-05-2019,281,283.25,275.1,268.09,7941828,,,,,,,
31-05-2019,278.25,279.8,269.6,263.34,7316925,,,,,,,
03-06-2019,273,276.1,269.15,266.1,6265379,,,,,,,
04-06-2019,274,276,272.4,265.76,4512003,,,,,,,
06-06-2019,274.9,274.9,265.3,258.49,5090763,,,,,,,
07-06-2019,267,270,261.6,254.33,5599533,,,,,,,
10-06-2019,264.4,267.9,262.35,258.64,3704937,,,,,,,
11-06-2019,268,274.5,265.3,264.94,4208927,,,,,,,
12-06-2019,274.45,277.3,270.25,262.9,7380929,,,,,,,
13-06-2019,272,275,265.65,265.91,5646873,,,,,,,
14-06-2019,272.1,275.4,267.6,262.9,4349503,,,,,,,
17-06-2019,271,271,259,252.19,8505525,,,,,,,
18-06-2019,261,265,254.9,255.44,6059478,,,,,,,
19-06-2019,264,267.65,256,252.53,7432697,,,,,,,
20-06-2019,261,270,258.25,260.97,5160169,,,,,,,
21-06-2019,265.95,268.95,264.25,258.93,6144176,,,,,,,
24-06-2019,267,268.5,257.1,249.87,5807872,,,,,,,
25-06-2019,254.4,268.3,252.65,258.83,9616552,,,,,,,
26-06-2019,263.6,277.8,263.35,268.62,6924967,,,,,,,
27-06-2019,276.95,280.8,275.55,268.82,7806500,,,,,,,
28-06-2019,277,278.75,273.1,268.09,4088477,,,,,,,
01-07-2019,278.55,281.8,273.85,267.27,3935030,,,,,,,
02-07-2019,275.7,277.2,272.1,267.65,3233802,,,,,,,
03-07-2019,276,279.8,273.75,268.86,3416371,,,,,,,
04-07-2019,277,278,273.8,266.59,3266606,,,,,,,
05-07-2019,275.75,278.7,265.05,258.45,4112441,,,,,,,
08-07-2019,262.1,267.2,257.9,258.15,3816891,,,,,,,
09-07-2019,262,265.5,260.5,262.35,3210950,,,,,,,
10-07-2019,263.5,264.35,252,254.9,6051189,,,,,,,
11-07-2019,259.3,268.1,257.85,267.3,11021639,,,,,,,
12-07-2019,267.3,270.85,261.7,267.9,7690461,,,,,,,
15-07-2019,267.4,272.75,263.7,270.95,4909761,,,,,,,
16-07-2019,269.95,275,269,273.9,3794706,,,,,,,
17-07-2019,272,275,268.8,271.9,3290727,,,,,,,
18-07-2019,270,270.75,264.9,266.1,3627824,,,,,,,
19-07-2019,267.3,269.2,258.2,259.05,3828583,,,,,,,
22-07-2019,259.9,265.5,256.3,264.4,3426665,,,,,,,
23-07-2019,266,266,259.8,263.3,3534413,,,,,,,
24-07-2019,263,263.85,246.75,255.25,10491930,,,,,,,
25-07-2019,254.8,257.9,247.8,248.65,6895024,,,,,,,
26-07-2019,248.95,253.35,247.1,249.7,5386836,,,,,,,
29-07-2019,245.85,246.25,236.85,241.4,7935024,,,,,,,
30-07-2019,243.05,248,220,230.25,8938349,,,,,,,
31-07-2019,228.35,238.3,226.1,237.45,5983362,,,,,,,
01-08-2019,235.1,235.8,222.7,225.25,7768510,,,,,,,
02-08-2019,223,230.45,217.8,225.15,11444553,,,,,,,
05-08-2019,220.8,221.25,212.25,217.7,7681043,,,,,,,
06-08-2019,214.6,221.45,214.15,217.55,6703116,,,,,,,
07-08-2019,217.7,217.8,210.6,212.25,7073513,,,,,,,
08-08-2019,213.3,222.85,208.75,221.7,8752577,,,,,,,
09-08-2019,221.7,228.45,219.3,220.6,9077239,,,,,,,
13-08-2019,217.6,224.45,216.45,220.15,6628569,,,,,,,
14-08-2019,222.6,229.9,220.75,227.75,6940915,,,,,,,
16-08-2019,226.35,228.95,221.6,227.15,6083438,,,,,,,
19-08-2019,228.3,230.85,224.75,226.2,4394801,,,,,,,
20-08-2019,225.05,226.1,221.65,224.85,5107078,,,,,,,
21-08-2019,223.5,226,217.7,219,5016435,,,,,,,
22-08-2019,215,220.4,212.8,217,6938275,,,,,,,
23-08-2019,214.5,223.6,213.75,220.65,4978377,,,,,,,
26-08-2019,222.15,225,206.3,214.1,13555325,,,,,,,
27-08-2019,217.4,217.5,212.8,213.4,12287346,,,,,,,
28-08-2019,214,214.25,202.8,205.75,9056214,,,,,,,
29-08-2019,203.8,214.55,201.75,211.95,18785875,,,,,,,
30-08-2019,215,218.95,211.25,217.45,10442126,,,,,,,
03-09-2019,214,215.5,209.3,210.15,5563093,,,,,,,
04-09-2019,208.85,216.05,207.5,214.8,8097106,,,,,,,
05-09-2019,217.1,222.3,213.5,216.25,10360712,,,,,,,
06-09-2019,217.4,219.35,212.25,217.95,8494436,,,,,,,
09-09-2019,218,224.5,213.85,219.5,9829589,,,,,,,
11-09-2019,220.4,228.95,220.15,227.7,11404495,,,,,,,
12-09-2019,228,232.25,221.2,222.05,9281462,,,,,,,
13-09-2019,222.05,227.6,219.1,226.2,8639132,,,,,,,
16-09-2019,222.5,227.5,222.5,225.65,5494139,,,,,,,
17-09-2019,224.4,229,214.8,216.2,9403320,,,,,,,
18-09-2019,217.55,223.55,217.25,221.4,9790812,,,,,,,
19-09-2019,220.15,221.6,215.25,219.55,9020768,,,,,,,
20-09-2019,220.65,240.2,218.25,238.1,23899821,,,,,,,
23-09-2019,252.95,252.95,237.4,243.7,13040988,,,,,,,
24-09-2019,241.95,242,232.5,233.35,9073501,,,,,,,
25-09-2019,233.5,235.75,228.3,234.4,7594921,,,,,,,
26-09-2019,236,237.8,231.25,235.45,8069927,,,,,,,
27-09-2019,233.6,236.5,230.6,232.2,7000789,,,,,,,
30-09-2019,228,231,222.5,229.95,6783701,,,,,,,
01-10-2019,229.1,231.75,220.4,222.65,6026952,,,,,,,
03-10-2019,220.95,225.7,218.3,221.55,5324110,,,,,,,
04-10-2019,222.3,223.9,212.45,214.65,6600815,,,,,,,
07-10-2019,214.9,215.8,207,208,7420654,,,,,,,
09-10-2019,207.3,213.75,205.95,212.8,5958422,,,,,,,
10-10-2019,211.3,214.9,209.1,213.75,6693227,,,,,,,
11-10-2019,215,220.9,212.8,217.25,8965423,,,,,,,
14-10-2019,218.8,225,218.35,221.45,7515730,,,,,,,
15-10-2019,221,226.9,214.25,219.65,14900735,,,,,,,
16-10-2019,222.25,223.65,218.45,220.3,7753169,,,,,,,
17-10-2019,218.3,224.7,214.35,222.95,10798747,,,,,,,
18-10-2019,222.1,225.2,220.3,223.35,9026105,,,,,,,
22-10-2019,223,225.9,219.2,219.7,8305579,,,,,,,
23-10-2019,218.6,224.8,215.75,222.7,8030559,,,,,,,
24-10-2019,215.2,225.1,215.2,222.85,15890442,,,,,,,
25-10-2019,222.5,224.15,216.1,217.35,8612440,,,,,,,
29-10-2019,219.6,236.4,219.6,234.25,13887709,,,,,,,
30-10-2019,236.95,236.95,231.25,234.4,5246865,,,,,,,
31-10-2019,235.7,236.5,227.05,228,6994856,,,,,,,
01-11-2019,227.7,239.5,227.5,237.6,9208037,,,,,,,
04-11-2019,238.7,254.85,238.7,250.2,17613567,,,,,,,
05-11-2019,253.35,254.15,244.25,246.05,10394354,,,,,,,
06-11-2019,245.95,251.3,244.3,248.25,7121343,,,,,,,
07-11-2019,250.2,254.8,243.1,252.65,12103874,,,,,,,
08-11-2019,252.75,256.5,248.5,250,7150985,,,,,,,
11-11-2019,249.1,253.25,248.05,251.9,5599046,,,,,,,
13-11-2019,251.5,254.7,247.35,248.75,6493201,,,,,,,
14-11-2019,248,249.7,244.25,245.75,4522524,,,,,,,
15-11-2019,246,250,242.2,244.75,5246862,,,,,,,
18-11-2019,245.9,251.15,244.8,249.6,4846338,,,,,,,
19-11-2019,249.4,250.85,246.6,247.9,4461546,,,,,,,
20-11-2019,247.7,252.3,245.95,248.7,4799567,,,,,,,
21-11-2019,248,248.95,244.15,245.25,3840421,,,,,,,
22-11-2019,245,253,244.3,251.25,4927891,,,,,,,
25-11-2019,252.9,261,252.3,260.15,11369913,,,,,,,
26-11-2019,261.25,262.8,251.1,253.25,12880492,,,,,,,
27-11-2019,254.1,257.9,251.9,252.95,4739906,,,,,,,
28-11-2019,253.6,264.9,252.25,263.95,9945852,,,,,,,
29-11-2019,262.6,269.5,260.05,261.55,12038238,,,,,,,
02-12-2019,267.5,269.45,263.25,268.3,10547869,,,,,,,
03-12-2019,267.25,267.5,254.5,257.25,9848751,,,,,,,
04-12-2019,254,264,247.75,259.8,15220113,,,,,,,
05-12-2019,260.75,261.8,250.1,251.45,6962695,,,,,,,
06-12-2019,252.9,256.7,250.1,254.1,7854850,,,,,,,
09-12-2019,253,259.5,251.85,258.85,6291970,,,,,,,
10-12-2019,256.3,259.15,250.3,251,5357914,,,,,,,
11-12-2019,251.2,254.8,246.55,249.95,6247501,,,,,,,
12-12-2019,252,257.65,250.2,255.6,6112551,,,,,,,
13-12-2019,263,264.4,255.55,257.6,12372614,,,,,,,
16-12-2019,259.2,260.2,252.15,253.1,5733217,,,,,,,
17-12-2019,254.35,261.6,253.55,258.95,11197549,,,,,,,
18-12-2019,257.9,266.35,256.3,264.4,13485427,,,,,,,
19-12-2019,263.3,267.2,262.3,264.85,7841049,,,,,,,
20-12-2019,264.5,266.75,262.75,264.7,7162934,,,,,,,
